"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
"Hospital district or authority","P2"
